State,Constituency_No,Constituency,Party,Candidate Name,Gender,Age,Application Date,Application Status,Father/Husband's Name,Photo Link,Phase,Polling Date
ANDAMAN & NICOBAR ISLANDS,1,ANDAMAN & NICOBAR ISLANDS,INDEPENDENT,V.K. ABDUL AZIZ,MALE,42,"27th March, 2024",Accepted,V.M. KOCHUNNI,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/VKA-2024-2102.jpg,1,19-04-2024
ANDAMAN & NICOBAR ISLANDS,1,ANDAMAN & NICOBAR ISLANDS,INDEPENDENT,USHA KUMARI,FEMALE,39,"27th March, 2024",Accepted,S B GURUNG,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/USHAK-2024-2088.jpg,1,19-04-2024
ANDAMAN & NICOBAR ISLANDS,1,ANDAMAN & NICOBAR ISLANDS,INDEPENDENT,RINKU MALA MONDAL,FEMALE,36,"27th March, 2024",Accepted,N N MONDAL,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/RINKU-2024-2056.jpg,1,19-04-2024
ANDAMAN & NICOBAR ISLANDS,1,ANDAMAN & NICOBAR ISLANDS,INDIAN NATIONAL CONGRESS,KULDEEP RAI SHARMA,MALE,56,"27th March, 2024",Accepted,BHAGAT SINGH,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/KULDE-2024-2038.jpg,1,19-04-2024
ANDAMAN & NICOBAR ISLANDS,1,ANDAMAN & NICOBAR ISLANDS,INDEPENDENT,ANAND RAMNATH ARLEKAR,MALE,58,"27th March, 2024",Accepted,RAMNATH ARLEKAR,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/ANAND-2024-2008.jpg,1,19-04-2024
ANDAMAN & NICOBAR ISLANDS,1,ANDAMAN & NICOBAR ISLANDS,INDEPENDENT,K VENKAT RAM BABU,MALE,50,"27th March, 2024",Accepted,K THATHAYYA,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/KVENK-2024-1997.jpg,1,19-04-2024
ANDAMAN & NICOBAR ISLANDS,1,ANDAMAN & NICOBAR ISLANDS,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),SALAMAT MONDAL,MALE,48,"27th March, 2024",Accepted,YEAD ALI,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/SALAM-2024-1955.jpg,1,19-04-2024
ANDAMAN & NICOBAR ISLANDS,1,ANDAMAN & NICOBAR ISLANDS,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,K J B SELVARAJ,MALE,50,"26th March, 2024",Accepted,G KULANDAI SAMY,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/KJBSE-2024-986.jpg,1,19-04-2024
ANDAMAN & NICOBAR ISLANDS,1,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR DEMOCRATIC CONGRESS,MANOJ PAUL,MALE,35,"26th March, 2024",Accepted,NIRODE BIHARI PAUL,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/MANOJ-2024-970.jpg,1,19-04-2024
ANDAMAN & NICOBAR ISLANDS,1,ANDAMAN & NICOBAR ISLANDS,COMMUNIST PARTY OF INDIA  (MARXIST),D AYYAPPAN,MALE,60,"26th March, 2024",Accepted,P DAMODARAN,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/DAYYA-2024-944.jpg,1,19-04-2024
ANDAMAN & NICOBAR ISLANDS,1,ANDAMAN & NICOBAR ISLANDS,BAHUJAN SAMAJ PARTY,DR ARUN KUMAR MALLIK,MALE,64,"26th March, 2024",Accepted,DHIRENDRA NATH MALLIK,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/DRARU-2024-938.jpg,1,19-04-2024
ANDAMAN & NICOBAR ISLANDS,1,ANDAMAN & NICOBAR ISLANDS,BHARATIYA JANATA PARTY,BISHNU PADA RAY,MALE,73,"22nd March, 2024",Accepted,RAMASHIS RAY,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/BISHN-2024-169.jpg,1,19-04-2024
ANDHRA PRADESH,1,ARAKU (ST),BHARATIYA JANATA PARTY,KOTHAPALLI GEETHA,FEMALE,53,"22nd April, 2024",Accepted,PARUCHURI RAMA KOTESWARA RAO,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KOTHA-2024-6969.jpg,4,13-05-2024
ANDHRA PRADESH,1,ARAKU (ST),INDEPENDENT,SAMAREDDY BALAKRISHNA,MALE,48,"24th April, 2024",Accepted,KONDALARAO SAMAREDDY,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SAMAR-2024-7717.jpg,4,13-05-2024
ANDHRA PRADESH,1,ARAKU (ST),INDEPENDENT,ATHIDHI,FEMALE,32,"25th April, 2024",Accepted,MATSYARAJU PAANGI,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/ATHID-2024-8257.jpg,4,13-05-2024
ANDHRA PRADESH,1,ARAKU (ST),INDEPENDENT,MANDALA GIRIDHARA RAO,MALE,42,"25th April, 2024",Accepted,MANDALA LAKSHMANA,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/MANDA-2024-20240426083444.jpg,4,13-05-2024
ANDHRA PRADESH,1,ARAKU (ST),BHARAT ADIVASI PARTY,MOTTADAM . RAJABABU,MALE,47,"25th April, 2024",Accepted,LAKSHMANA RAO,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/MOTTA-2024-8124.jpg,4,13-05-2024
ANDHRA PRADESH,1,ARAKU (ST),INDIA PRAJA BANDHU PARTY,VUYAKA NIREEKSHAN  (V. CHENCHU),MALE,43,"24th April, 2024",Accepted,V PAKEERU LATE,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VUYAK-2024-20240424043308.jpg,4,13-05-2024
ANDHRA PRADESH,1,ARAKU (ST),INDEPENDENT,NIMMAKA JAYARAJU,MALE,64,"19th April, 2024",Accepted,SOWRYAPPA LATE,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/NIMMA-2024-5705.jpg,4,13-05-2024
ANDHRA PRADESH,1,ARAKU (ST),COMMUNIST PARTY OF INDIA  (MARXIST),APPALANARASA PACHIPENTA,MALE,41,"19th April, 2024",Accepted,LATE APPALASWAMY,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/APPAL-2024-5751.jpg,4,13-05-2024
ANDHRA PRADESH,1,ARAKU (ST),YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,GUMMA THANUJA RANI,FEMALE,31,"19th April, 2024",Accepted,GUMMA SYAM SUNDARA RAO,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GUMMA-2024-5992.jpg,4,13-05-2024
ANDHRA PRADESH,1,ARAKU (ST),JAI BHARAT NATIONAL PARTY,CHANTI BADNAINA,MALE,28,"23rd April, 2024",Accepted,BHEEMANNA,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/CHANT-2024-7281.jpg,4,13-05-2024
ANDHRA PRADESH,1,ARAKU (ST),TELUGU RAJADHIKARA SAMITI PARTY,RAMBABU JALLI,MALE,45,"23rd April, 2024",Accepted,BANGARAIAH,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/RAMBA-2024-20240423125010.jpg,4,13-05-2024
ANDHRA PRADESH,1,ARAKU (ST),BAHUJAN SAMAJ PARTY,AVASHYA LAHARI . VARAM,FEMALE,30,"22nd April, 2024",Accepted,VARAM R CHANDRA BABU NAIDU,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VARAM-2024-6929.jpg,4,13-05-2024
ANDHRA PRADESH,1,ARAKU (ST),INDEPENDENT,RANJITH KUMAR PALAKA,MALE,42,"19th April, 2024",Accepted,KONDALA RAO,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/RANJI-2024-5838.jpg,4,13-05-2024
ANDHRA PRADESH,2,SRIKAKULAM,INDIAN NATIONAL CONGRESS,PEDADA PARAMESWARA RAO,MALE,59,"22nd April, 2024",Accepted,BHIMARAO,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/PEDAD-2024-20240429074347.jpg,4,13-05-2024
ANDHRA PRADESH,2,SRIKAKULAM,INDEPENDENT,SANAPALA SRAVAN KUMAR,MALE,38,"23rd April, 2024",Accepted,SANAPALA KRISHNARAO,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SANAP-2024-20240429074525.jpg,4,13-05-2024
ANDHRA PRADESH,2,SRIKAKULAM,BHARATHA CHAITANYA YUVAJANA PARTY,BORUBADRA CHANDRAKALA,FEMALE,37,"24th April, 2024",Accepted,BORUBADRA PAPARAO,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BORUB-2024-7860.jpg,4,13-05-2024
