ID,State,Constituency,Total Electors,Polled (%),Total Votes,Phase
1,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,315148,64.1,202018,1
2,ARUNACHAL PRADESH,ARUNACHAL EAST,375310,83.31,312658,1
3,ARUNACHAL PRADESH,ARUNACHAL WEST,517384,73.6,380783,1
4,ASSAM,DIBRUGARH,1659588,76.75,1273744,1
5,ASSAM,JORHAT,1727121,79.89,1379749,1
6,ASSAM,KAZIRANGA,2050126,79.33,1626408,1
7,ASSAM,LAKHIMPUR,1577234,76.42,1205331,1
8,ASSAM,SONITPUR,1633800,78.46,1281959,1
9,BIHAR,AURANGABAD,1871564,50.35,942382,1
10,BIHAR,GAYA,1816815,52.76,958623,1
11,BIHAR,JAMUI,1907126,51.25,977369,1
12,BIHAR,NAWADA,2006124,43.17,866102,1
13,CHHATTISGARH,BASTAR,1472207,68.29,1005392,1
14,JAMMU AND KASHMIR,UDHAMPUR,1623195,68.27,1108206,1
15,LAKSHADWEEP,LAKSHADWEEP,57784,84.16,48630,1
16,MADHYA PRADESH,BALAGHAT,1873653,73.45,1376207,1
17,MADHYA PRADESH,CHHINDWARA,1632190,79.83,1303001,1
18,MADHYA PRADESH,JABALPUR,1896346,61.0,1156722,1
19,MADHYA PRADESH,MANDLA,2101811,72.84,1530861,1
20,MADHYA PRADESH,SHAHDOL,1777185,64.68,1149506,1
21,MADHYA PRADESH,SIDHI,2028451,56.5,1146150,1
22,MAHARASHTRA,BHANDARA GONDIYA,1827188,67.04,1224928,1
23,MAHARASHTRA,CHANDRAPUR,1837906,67.55,1241574,1
24,MAHARASHTRA,GADCHIROLI - CHIMUR,1617207,71.88,1162476,1
25,MAHARASHTRA,NAGPUR,2223281,54.32,1207738,1
26,MAHARASHTRA,RAMTEK,2049085,61.01,1250190,1
27,MANIPUR,INNER MANIPUR,991574,80.15,794790,1
28,MANIPUR,OUTER MANIPUR,553078,68.83,380688,1
29,MEGHALAYA,SHILLONG,1400411,73.78,1033251,1
30,MEGHALAYA,TURA,826156,81.37,672284,1
31,MIZORAM,MIZORAM,856364,56.87,487013,1
32,NAGALAND,NAGALAND,1317536,57.72,760507,1
33,PUDUCHERRY,PUDUCHERRY,1023699,78.9,807724,1
34,RAJASTHAN,ALWAR,2059888,60.07,1237446,1
35,RAJASTHAN,BHARATPUR,2114916,52.8,1116742,1
36,RAJASTHAN,BIKANER,2048399,54.11,1108418,1
37,RAJASTHAN,CHURU,2213187,63.61,1407716,1
38,RAJASTHAN,DAUSA,1899304,55.72,1058386,1
39,RAJASTHAN,GANGANAGAR,2102002,66.59,1399688,1
40,RAJASTHAN,JAIPUR,2287350,63.38,1449612,1
41,RAJASTHAN,JAIPUR RURAL,2184978,56.7,1238818,1
42,RAJASTHAN,JHUNJHUNU,2068540,52.93,1094900,1
43,RAJASTHAN,KARAULI-DHOLPUR,1975352,49.59,979618,1
44,RAJASTHAN,NAGAUR,2146725,57.23,1228494,1
45,RAJASTHAN,SIKAR,2214900,57.53,1274270,1
46,SIKKIM,SIKKIM,464140,79.88,370765,1
47,TAMIL NADU,ARAKKONAM,1562871,74.19,1159441,1
48,TAMIL NADU,ARANI,1496118,75.76,1133520,1
49,TAMIL NADU,CHENNAI CENTRAL,1350161,53.96,728614,1
50,TAMIL NADU,CHENNAI NORTH,1496224,60.11,899367,1
51,TAMIL NADU,CHENNAI SOUTH,2023133,54.17,1096026,1
52,TAMIL NADU,CHIDAMBARAM,1519847,76.37,1160762,1
53,TAMIL NADU,COIMBATORE,2106124,64.89,1366597,1
54,TAMIL NADU,CUDDALORE,1412746,72.57,1025298,1
55,TAMIL NADU,DHARMAPURI,1524896,81.2,1238184,1
56,TAMIL NADU,DINDIGUL,1607051,71.14,1143196,1
57,TAMIL NADU,ERODE,1538778,70.59,1086287,1
58,TAMIL NADU,KALLAKURICHI,1568681,79.21,1242597,1
59,TAMIL NADU,KANCHEEPURAM,1748866,71.68,1253582,1
60,TAMIL NADU,KANNIYAKUMARI,1557915,65.44,1019532,1
61,TAMIL NADU,KARUR,1429790,78.7,1125241,1
62,TAMIL NADU,KRISHNAGIRI,1623179,71.5,1160498,1
63,TAMIL NADU,MADURAI,1582271,62.04,981650,1
64,TAMIL NADU,MAYILADUTHURAI,1545568,70.09,1083243,1
65,TAMIL NADU,NAGAPATTINAM,1345120,71.94,967694,1
66,TAMIL NADU,NAMAKKAL,1452562,78.21,1136069,1
67,TAMIL NADU,NILGIRIS,1428387,70.95,1013410,1
68,TAMIL NADU,PERAMBALUR,1446352,77.43,1119881,1
69,TAMIL NADU,POLLACHI,1597467,70.41,1124743,1
70,TAMIL NADU,RAMANATHAPURAM,1617688,68.19,1103036,1
71,TAMIL NADU,SALEM,1658681,78.16,1296481,1
72,TAMIL NADU,SIVAGANGA,1633857,64.26,1049887,1
73,TAMIL NADU,SRIPERUMBUDUR,2382119,60.25,1435243,1
74,TAMIL NADU,TENKASI,1525439,67.65,1031961,1
75,TAMIL NADU,THANJAVUR,1501226,68.27,1024949,1
76,TAMIL NADU,THENI,1622949,69.84,1133513,1
77,TAMIL NADU,THOOTHUKKUDI,1458430,66.88,975468,1
78,TAMIL NADU,TIRUCHIRAPPALLI,1553985,67.51,1049093,1
79,TAMIL NADU,TIRUNELVELI,1654503,64.1,1060461,1
80,TAMIL NADU,TIRUPPUR,1608521,70.62,1135998,1
81,TAMIL NADU,TIRUVALLUR,2085991,68.59,1430738,1
82,TAMIL NADU,TIRUVANNAMALAI,1533099,74.24,1138102,1
83,TAMIL NADU,VELLORE,1528273,73.53,1123715,1
84,TAMIL NADU,VILUPPURAM,1503115,76.52,1150164,1
85,TAMIL NADU,VIRUDHUNAGAR,1501942,70.22,1054634,1
86,TRIPURA,TRIPURA WEST,1463526,81.48,1192435,1
87,UTTAR PRADESH,BIJNOR,1738307,58.73,1020947,1
88,UTTAR PRADESH,KAIRANA,1722432,62.46,1075839,1
89,UTTAR PRADESH,MORADABAD,2059578,62.18,1280706,1
90,UTTAR PRADESH,MUZAFFARNAGAR,1817472,59.13,1074608,1
91,UTTAR PRADESH,NAGINA,1644909,60.75,999203,1
92,UTTAR PRADESH,PILIBHIT,1831699,63.11,1155917,1
93,UTTAR PRADESH,RAMPUR,1731836,55.85,967200,1
94,UTTAR PRADESH,SAHARANPUR,1855310,66.14,1227083,1
95,UTTARAKHAND,ALMORA,1339327,48.74,652726,1
96,UTTARAKHAND,GARHWAL,1369388,52.42,717834,1
97,UTTARAKHAND,HARIDWAR,2035726,63.53,1293362,1
98,UTTARAKHAND,NAINITAL-UDHAMSINGH NAGAR,2015809,62.47,1259180,1
99,UTTARAKHAND,TEHRI GARHWAL,1577664,53.76,848186,1
100,WEST BENGAL,ALIPURDUARS,1773252,79.76,1414258,1
101,WEST BENGAL,COOCHBEHAR,1966893,82.16,1616079,1
102,WEST BENGAL,JALPAIGURI,1885963,83.66,1577828,1
103,ASSAM,DARRANG-UDALGURI,2209314,82.01,1811764,2
104,ASSAM,DIPHU,901032,75.74,682441,2
105,ASSAM,KARIMGANJ,1412148,80.48,1136538,2
106,ASSAM,NAGAON,1817204,84.97,1544081,2
107,ASSAM,SILCHAR,1369578,79.05,1082616,2
108,BIHAR,BANKA,1856566,54.48,1011513,2
109,BIHAR,BHAGALPUR,1983031,53.5,1060982,2
110,BIHAR,KATIHAR,1833009,63.76,1168752,2
111,BIHAR,KISHANGANJ,1829994,62.84,1149988,2
112,BIHAR,PURNIA,1893698,63.08,1194484,2
113,CHHATTISGARH,KANKER,1654440,76.23,1261103,2
114,CHHATTISGARH,MAHASAMUND,1762477,75.02,1322125,2
115,CHHATTISGARH,RAJNANDGAON,1868021,77.42,1446247,2
116,JAMMU AND KASHMIR,JAMMU,1780835,72.22,1286144,2
117,KARNATAKA,BANGALORE CENTRAL,2433751,54.06,1315612,2
118,KARNATAKA,BANGALORE NORTH,3214496,54.45,1750372,2
119,KARNATAKA,BANGALORE RURAL,2802580,68.3,1914030,2
120,KARNATAKA,BANGALORE SOUTH,2341759,53.17,1245168,2
121,KARNATAKA,CHAMARAJANAGAR,1778310,76.82,1366015,2
122,KARNATAKA,CHIKKBALLAPUR,1981347,77.0,1525718,2
123,KARNATAKA,CHITRADURGA,1856876,73.3,1361031,2
124,KARNATAKA,DAKSHINA KANNADA,1817603,77.56,1409653,2
125,KARNATAKA,HASSAN,1736610,77.68,1348966,2
126,KARNATAKA,KOLAR,1726914,78.27,1351646,2
127,KARNATAKA,MANDYA,1779243,81.67,1453060,2
128,KARNATAKA,MYSORE,2092222,70.62,1477576,2
129,KARNATAKA,TUMKUR,1661309,78.05,1296720,2
130,KARNATAKA,UDUPI CHIKMAGALUR,1585162,77.15,1222888,2
131,KERALA,ALAPPUZHA,1400082,75.05,1050726,2
132,KERALA,ALATHUR,1337496,73.42,981945,2
