Constituency,ConstituencyKey,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
AJMER,13,BHAGIRATH CHOUDHARY,BHARATIYA JANATA PARTY,RAMCHANDRA CHOUDHARY,INDIAN NATIONAL CONGRESS,329991,Result Declared
ALWAR,8,BHUPENDER YADAV,BHARATIYA JANATA PARTY,LALIT YADAV,INDIAN NATIONAL CONGRESS,48282,Result Declared
AMBALA,1,VARUN CHAUDHRY,INDIAN NATIONAL CONGRESS,BANTO KATARIA,BHARATIYA JANATA PARTY,49036,Result Declared
ANANTNAG-RAJOURI,3,MIAN ALTAF AHMAD,JAMMU & KASHMIR NATIONAL CONFERENCE,MEHBOOBA MUFTI,JAMMU & KASHMIR PEOPLES DEMOCRATIC PARTY,281794,Result Declared
ARAKKONAM,7,S JAGATHRATCHAKAN,DRAVIDA MUNNETRA KAZHAGAM,L VIJAYAN,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,306559,Result Declared
ARANI,12,THARANIVENTHAN M S,DRAVIDA MUNNETRA KAZHAGAM,"GAJENDRAN, G.V.",ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,208766,Result Declared
ADILABAD,1,GODAM NAGESH,BHARATIYA JANATA PARTY,ATHRAM SUGUNA,INDIAN NATIONAL CONGRESS,90652,Result Declared
AGRA,18,PROF S P SINGH BAGHEL,BHARATIYA JANATA PARTY,SURESH CHAND KARDAM,SAMAJWADI PARTY,271294,Result Declared
AHMEDABAD EAST,7,HASMUKHBHAI PATEL (H.S.PATEL),BHARATIYA JANATA PARTY,HIMMATSINH PRAHLADSINH PATEL,INDIAN NATIONAL CONGRESS,461755,Result Declared
AHMEDABAD WEST,8,DINESHBHAI MAKWANA (ADVOCATE),BHARATIYA JANATA PARTY,BHARAT YOGENDRA MAKWANA,INDIAN NATIONAL CONGRESS,286437,Result Declared
AHMEDNAGAR,37,NILESH DNYANDEV LANKE,NATIONALIST CONGRESS PARTY – SHARADCHANDRA PAWAR,DR. SUJAY RADHAKRISHNA VIKHEPATIL,BHARATIYA JANATA PARTY,28929,Result Declared
AKBARPUR,44,DEVENDRA SINGH ALIAS BHOLE SINGH,BHARATIYA JANATA PARTY,RAJARAM PAL,SAMAJWADI PARTY,44345,Result Declared
AKOLA,6,ANUP SANJAY DHOTRE,BHARATIYA JANATA PARTY,ABHAY KASHINATH PATIL,INDIAN NATIONAL CONGRESS,40626,Result Declared
ALAPPUZHA,15,K. C VENUGOPAL,INDIAN NATIONAL CONGRESS,A. M ARIFF,COMMUNIST PARTY OF INDIA (MARXIST),63513,Result Declared
ALATHUR,9,K.RADHAKRISHNAN,COMMUNIST PARTY OF INDIA (MARXIST),RAMYA HARIDAS,INDIAN NATIONAL CONGRESS,20111,Result Declared
ALIGARH,15,SATISH KUMAR GAUTAM,BHARATIYA JANATA PARTY,BIJENDRA SINGH,SAMAJWADI PARTY,15647,Result Declared
ALIPURDUARS,2,MANOJ TIGGA,BHARATIYA JANATA PARTY,PRAKASH CHIK BARAIK,ALL INDIA TRINAMOOL CONGRESS,75447,Result Declared
ALLAHABAD,52,UJJWAL RAMAN SINGH,INDIAN NATIONAL CONGRESS,NEERAJ TRIPATHI,BHARATIYA JANATA PARTY,58795,Result Declared
ALMORA,3,AJAY TAMTA,BHARATIYA JANATA PARTY,PRADEEP TAMTA,INDIAN NATIONAL CONGRESS,234097,Result Declared
